,Word,Frequency
8,corona,2567
17,coronavirus,1680
22,covid19,1157
23,virus,1131
25,trump,1032
28,get,920
31,fuck,900
32,people,896
36,go,760
39,say,704
44,covid,649
50,amp,599
51,face,561
53,u,538
56,shit,517
57,bad,511
58,due,510
59,call,501
60,death,493
62,take,481
65,know,460
67,american,447
68,like,435
72,c,410
73,one,408
76,state,403
78,day,390
79,v,390
81,test,377
83,new,362
85,die,353
86,think,349
87,black,345
88,home,342
90,make,337
91,time,335
94,sick,330
97,would,322
98,week,312
99,pandemic,309
